,filed_id,record,accident_address,city,area,longitude,latitude
263568,1682806,A001008625,Carrera 29 Calle 12,Medellín,Perímetro Urbano Medellín,,
263750,1683213,A001009085,Transversal 51 A Calle 69,Medellín,Perímetro Urbano Medellín,,
265588,1685056,A001010676,Carrera 99,Medellín,Perímetro Urbano Medellín,,
268441,1687750,A001064891,Calle 1 Carrera 1,Medellín,Perímetro Urbano Medellín,,
269560,1689004,A001066046,Calle 1 Carrera 1,Medellín,Perímetro Urbano Medellín,,
269793,1689362,A001066333,Carrera 99,Medellín,Perímetro Urbano Medellín,,
271086,1690757,A001067846,Calle9,Medellín,Perímetro Urbano Medellín,,
271615,1691067,A001068277,Carrera 99,Medellín,Perímetro Urbano Medellín,,
271962,1691422,A001068564,Calle9,Medellín,Perímetro Urbano Medellín,,
274014,1693712,A001070795,Diagonal 80 Calle 7,Medellín,Perímetro Urbano Medellín,,
274410,1694041,A001071263,Calle9,Medellín,Perímetro Urbano Medellín,,
276723,1696401,A001073503,Carrera 34 Calle 90,Medellín,Perímetro Urbano Medellín,,
277387,1697093,A001074073,Calle9,Medellín,Perímetro Urbano Medellín,,
278042,1698179,A001075346,Calle 5 Carrera 28,Medellín,Perímetro Urbano Medellín,,
278730,1698930,A001076007,Calle 30 Carrera 144,Medellín,Perímetro Urbano Medellín,,
279738,1699669,A001076888,Carrera 38 Calle 28,Medellín,Perímetro Urbano Medellín,,
279974,1700408,A001077113,Calle 95 Carrera 999,Medellín,Perímetro Urbano Medellín,,
281651,1701806,A001078906,Calle 9 Carrera 74 A,Medellín,Perímetro Urbano Medellín,,
241243,1662419,A000929391,Carrera 3 Calle 2,Medellin,Perímetro Urbano Medellín,,
242218,1662738,A000929745,Carrera 120 Calle 50 A,Medellin,Perímetro Urbano Medellín,,
251959,1670847,A000996522,Carrera 62 D Calle 108,Medellín,Perímetro Urbano Medellín,,
252321,1671149,A000996903,Carrera 99,Medellín,Perímetro Urbano Medellín,,
261566,1680672,A001006367,Carrera 30 C Calle 107 A,Medellín,Perímetro Urbano Medellín,,
264392,1683622,A001009300,Calle 47 Carrera 29,Medellín,Perímetro Urbano Medellín,,
272379,1691907,A001069055,Calle 45 Carrera 10,Medellín,Perímetro Urbano Medellín,,
277999,1698088,A001075318,Carrera 55 Calle 48 C Sur,Medellín,Perímetro Urbano Medellín,,
233171,1657156,A000924512,Carrera 999 Calle 100,Medellin,Perímetro Urbano Medellín,,
242240,1663098,A000930153,Calle 31 Aa Carrera 107,Medellin,Perímetro Urbano Medellín,,
252547,1671516,A000997402,Calle 65 B Carrera 118,Medellín,Perímetro Urbano Medellín,,
252974,1671898,A000997604,Calle 34 Carrera 116,Medellín,Perímetro Urbano Medellín,,
253040,1671892,A000997532,Calle 67 Carrera 51,Medellín,Perímetro Urbano Medellín,,
253742,1672640,A000998421,Calle 18 Carrera 97,Medellín,Perímetro Urbano Medellín,,
254056,1673245,A000998904,Carrera 52 Calle 31,Medellín,Perímetro Urbano Medellín,,
254462,1673580,A000999436,Calle 65 Carrera 98,Medellín,Perímetro Urbano Medellín,,
254696,1673674,A000999240,Calle 42 Carrera 81,Medellín,Perímetro Urbano Medellín,,
254752,1673814,A000999513,Carrera 63 C Calle 102 B,Medellín,Perímetro Urbano Medellín,,
255589,1674499,A001000180,Carrera 68 Calle 56,Medellín,Perímetro Urbano Medellín,,
255825,1674975,A001000787,Carrera 117 Calle 63 B,Medellín,Perímetro Urbano Medellín,,
256012,1675286,A001001081,Carrera 65 Calle 8,Medellín,Perímetro Urbano Medellín,,
256035,1675073,A001000640,Carrera 52 Calle 96 A,Medellín,Perímetro Urbano Medellín,,
256098,1675180,A001001051,Calle 60 Carrera 12,Medellín,Perímetro Urbano Medellín,,
256198,1675270,A001000979,Carrera 2 Calle 500,Medellín,Perímetro Urbano Medellín,,
269454,1689110,A001066226,Calle 33 Carrera 579,Medellín,Perímetro Urbano Medellín,,
